1,Luxembourg,"112,875"
2,Singapore,"95,603"
3,Qatar,"91,897"
4,Ireland,"89,383"
5,Switzerland,"68,340"
6,Norway,"64,856"
7,United States,"63,051"
8,Brunei,"61,816"
—,Macau,"58,931"
9,United Arab Emirates,"58,466"
—,Hong Kong,"58,165"
10,Denmark,"57,781"
11,Netherlands,"57,101"
12,San Marino,"56,690"
13,Austria,"55,406"
14,Iceland,"54,482"
—,Taiwan,"54,020"
15,Germany,"53,571"
16,Sweden,"52,477"
17,Australia,"50,845"
18,Belgium,"50,114"
19,Finland,"49,334"
20,Bahrain,"49,057"
21,Canada,"47,569"
22,Saudi Arabia,"46,273"
23,France,"45,454"
24,South Korea,"44,292"
25,United Kingdom,"44,288"
26,Malta,"43,087"
27,Kuwait,"41,735"
28,Japan,"41,637"
29,New Zealand,"41,072"
30,Czech Republic,"40,293"
31,Italy,"40,066"
32,Israel,"39,126"
33,Cyprus,"39,079"
34,Lithuania,"38,605"
35,Slovenia,"38,506"
36,Spain,"38,143"
37,Estonia,"37,033"
—,Puerto Rico,"34,998"
38,The Bahamas,"33,808"
39,Poland,"33,739"
40,Portugal,"33,131"
41,Hungary,"32,434"
42,Slovakia,"32,184"
43,Latvia,"30,579"
44,Romania,"30,141"
45,Panama,"30,034"
46,Oman,"29,908"
47,Greece,"29,045"
48,Turkey,"28,294"
49,Croatia,"27,681"
50,Russia,"27,394"
51,Malaysia,"27,287"
52,Aruba,"27,169"
53,Kazakhstan,"26,589"
54,Seychelles,"26,388"
55,Trinidad and Tobago,"25,964"
56,Bulgaria,"23,741"
57,Chile,"23,455"
58,Maldives,"22,965"
59,Uruguay,"21,338"
60,Saint Kitts and Nevis,"21,028"
61,Mauritius,"20,719"
62,Argentina,"20,370"
63,Montenegro,"19,931"
64,Belarus,"19,759"
65,Costa Rica,"19,309"
66,Serbia,"18,840"
67,Mexico,"18,804"
68,Dominican Republic,"18,783"
69,Antigua and Barbuda,"18,655"
70,Thailand,"18,073"
71,Equatorial Guinea,"17,782"
72,Guyana,"17,360"
73,China,"17,206"
74,Turkmenistan,"16,711"
75,North Macedonia,"16,609"
76,Grenada,"16,454"
77,Botswana,"16,153"
78,Gabon,"15,854"
79,Georgia,"15,142"
80,Bosnia and Herzegovina,"14,895"
81,Suriname,"14,605"
82,Barbados,"14,568"
83,Brazil,"14,563"
84,Azerbaijan,"14,499"
85,Palau,"14,159"
86,Colombia,"14,137"
87,Armenia,"13,735"
88,Saint Lucia,"13,708"
89,Albania,"13,651"
90,Moldova,"13,253"
91,Sri Lanka,"13,114"
92,Egypt,"12,719"
93,Ukraine,"12,710"
94,Paraguay,"12,503"
95,Indonesia,"12,345"
96,Saint Vincent and the Grenadines,"12,268"
97,Mongolia,"12,259"
98,Dominica,"12,083"
99,Bhutan,"12,058"
100,Iran,"11,963"
101,South Africa,"11,911"
102,Lebanon,"11,562"
103,Peru,"11,516"
104,Fiji,"11,175"
105,Algeria,"11,041"
—,Kosovo,"11,017"
106,Vietnam,"10,755"
107,Ecuador,"10,617"
108,Tunisia,"10,382"
109,Jamaica,"10,221"
110,Jordan,"10,007"
111,Iraq,"9,952"
112,Nauru,"9,875"
113,Namibia,"9,537"
114,Eswatini,"8,955"
115,Philippines,"8,574"
116,El Salvador,"8,401"
117,Bolivia,"8,342"
118,Guatemala,"8,267"
119,Laos,"8,221"
120,Morocco,"7,609"
121,Uzbekistan,"7,378"
122,Cape Verde,"6,980"
123,Angola,"6,978"
124,India,"6,284"
125,Tonga,"6,074"
126,Mauritania,"5,797"
127,Ghana,"5,707"
128,Belize,"5,695"
129,Samoa,"5,547"
130,Honduras,"5,538"
131,Nicaragua,"5,439"
132,Côte d'Ivoire,"5,360"
133,Myanmar,"5,179"
134,Pakistan,"5,160"
135,Bangladesh,"5,139"
136,Djibouti,"5,074"
137,Nigeria,"5,066"
138,Kenya,"4,993"
139,Kyrgyzstan,"4,824"
140,Libya,"4,746"
141,Tuvalu,"4,480"
142,Cambodia,"4,441"
143,Republic of the Congo,"4,233"
144,Timor-Leste,"4,031"
145,Papua New Guinea,"3,861"
146,São Tomé and Príncipe,"3,837"
147,Marshall Islands,"3,786"
148,Sudan,"3,749"
149,Cameroon,"3,710"
150,Nepal,"3,586"
151,Tajikistan,"3,560"
152,Senegal,"3,463"
153,Federated States of Micronesia,"3,447"
154,Benin,"3,443"
155,Zambia,"3,302"
156,Comoros,"3,014"
157,Lesotho,"2,886"
158,Tanzania,"2,851"
159,Ethiopia,"2,772"
160,Vanuatu,"2,649"
161,Uganda,"2,585"
162,Zimbabwe,"2,583"
163,Guinea,"2,516"
164,Solomon Islands,"2,442"
165,Mali,"2,421"
166,Rwanda,"2,393"
167,Guinea-Bissau,"2,340"
168,The Gambia,"2,239"
169,Burkina Faso,"2,203"
170,Kiribati,"2,126"
171,Afghanistan,"2,073"
172,Yemen,"1,931"
173,Eritrea,"1,824"
174,Haiti,"1,728"
175,Sierra Leone,"1,711"
176,Madagascar,"1,647"
177,Togo,"1,640"
178,Chad,"1,618"
179,Liberia,"1,536"
180,Mozambique,"1,279"
181,Niger,"1,253"
182,Malawi,995
183,Democratic Republic of the Congo,978
184,Central African Republic,972
185,South Sudan,884
186,Burundi,783
